,Constellation Brands Incorporated,,,,,
Date,Open,High,Low,Close,Volume,SIP
"04,30,2021",228.03,239.78,218.62,238.86,17681982,1.127
"03,31,2021",217.03999,236.94,208.59,228,21107356,1.127
"02,26,2021",213.16,242.62,211.23,214.14,23099498,1.254
"01,29,2021",220,240.75999,210.75999,210.92999,26169872,1.083
"12,31,2020",208.35001,220,202.7,219.05,21300370,1.269
"11,30,2020",168.55,208.64999,166.85001,205.84,22741062,3.371
"10,30,2020",191,191,160.63,165.23,22533072,3.014
"09,30,2020",183.89999,197.97,179.78999,189.50999,24661964,3.347
"08,31,2020",178.2,185.83,170.05,184.48,19600834,3.389
"07,31,2020",182.92999,190.74001,175.39999,178.2,26050440,3.152
"06,30,2020",172.39999,189.37,164.25,174.95,28842752,3.607
"05,29,2020",162.60001,180,151.53,172.7,23714446,3.761
"04,30,2020",138.58,172.77,117.72,164.69,42390632,3.394
"03,31,2020",173.25,186.8,104.28,143.36,59895752,3.071
"02,28,2020",188.96001,208.55,163.53,172.38,23210936,3.172
"01,31,2020",189.97,195.96001,182.17,188.3,31462816,3.442
"12,31,2019",185.98,190.57001,179.00999,189.75,20611056,4.037
"11,29,2019",191.25999,195.5,174.13,186.06,25065754,4.274
"10,31,2019",207.60001,210.64999,186.41,190.33,27195648,4.559
"09,30,2019",203.36,212,202.25,207.28,19817156,4.436
"08,30,2019",196.67,205.3,184.28999,204.35001,22230344,4.938
"07,31,2019",199,205.59,193.13,196.82001,23248898,4.876
"06,28,2019",177.28,200.59,176.56,196.94,40589920,4.262
"05,31,2019",211.60001,213.7,171.27,176.45,35092616,4.156
"04,30,2019",176.91,214.48,174.52,211.67,48537532,3.811
"03,29,2019",170.2,176.46001,163.52,175.33,34396016,2.662
"02,28,2019",174.14999,176.78,163.99001,169.16,47358344,2.497
"01,31,2019",160.06,173.77,150.37,173.66,74841880,3.055
"12,31,2018",196.45,198.35001,156.25,160.82001,42063672,2.848
"11,30,2018",199.7,208.24001,187.87,195.75999,40907044,3.279
"10,31,2018",216.31,228.91,196.25999,199.23,59633512,2.164
"09,28,2018",207.96001,219.60001,206.35001,215.62,34638712,2.885
"08,31,2018",210.14,222.22,198.85001,208.2,61210204,3.068
"07,31,2018",216.07001,219.7,208.28999,210.23,35278728,2.831
"06,29,2018",223.99001,234.25999,215.25,218.87,37288296,2.169
"05,31,2018",232.33,232.82001,214.5,223.08,31929424,2.479
"04,30,2018",229.48,236.62,222.37,233.13,29147906,2.132
"03,30,2018",216.24001,231.83,213.57001,227.92,32390092,1.534
"02,28,2018",219.19,221.17999,204.60001,215.48,34690576,1.708
"01,31,2018",229,229.5,214,219.47,54843548,1.417
"12,29,2017",217.66,229.42,214.33,228.57001,27548216,2.151
"11,30,2017",219.37,227.2,212.67,217.59,21681960,2.92
"10,31,2017",200.39,219.28999,198.44,219.09,34009840,2.789
"09,29,2017",200.55,205.12,197.32001,199.45,22118842,2.391
"08,31,2017",194.22,200.64,191.71001,200.10001,22590260,2.207
"07,31,2017",194.14,199.89,191.06,193.35001,24404258,1.903
"06,30,2017",183.32001,197.41,176.21001,193.73,32874372,2.047
"05,31,2017",173,186.06,171.84,182.75,29488272,2.119
"04,28,2017",162.07001,175.42999,160.53,172.53999,30169964,2.538
"03,31,2017",160.09,165.88,155.11,162.07001,29387436,2.435
"02,28,2017",151.75999,162.48,148.38,158.81,36505272,2.462
"01,31,2017",155.00999,158.35001,144,149.75999,54649124,3.496
"12,30,2016",150.32001,158.32001,144,153.31,35717740,2.65
"11,30,2016",166.89999,167.86,146.89999,151.14,49082572,2.794
"10,31,2016",166.45,173.55,164.78999,167.12,27889680,2.623
"09,30,2016",163.87,168.67999,160.50999,166.49001,22024224,2.078
"08,31,2016",164.94,168.67999,161.50999,164.05,17759644,2.052
"07,29,2016",165.74001,168.13,161.75,164.63,22113534,2.118
"06,30,2016",153.14999,166.22,149.25999,165.39999,40443196,1.903
"05,31,2016",156.07001,165.81,152.21001,153.14999,29564876,2.029
"04,29,2016",150.36,160.39,149.60001,156.06,31152210,1.769
"03,31,2016",142.42,152.23,137.85001,151.09,32576474,2.398
"02,29,2016",152.89999,155.67999,130.23,141.42999,38349428,1.808
"01,29,2016",141.03,154.31,138.45,152.48,37348020,1.871
"12,31,2015",140.95,144.87,135.34,142.44,24014200,1.141
"11,30,2015",134.91,144.60001,131.42999,140.25999,22513428,1.185
"10,30,2015",125.15,138.88,124.57,134.8,26944140,1.477
"09,30,2015",127,132.2,122.35,125.21,30691788,2.276
"08,31,2015",120.61,130.42,114.49,128,30970358,2.238
"07,31,2015",120.37,120.54,114.67,120.02,21126168,1.489
"06,30,2015",118.79,122.13,115.53,116.02,22447520,1.272
"05,29,2015",116.47,120.48,114.65,117.89,17337340,1.265
"04,30,2015",116.14,121.92,114.75,115.94,21462384,1.449
"03,31,2015",114.43,118.5,110.45,116.21,21641924,1.508
"02,27,2015",110.45,116.29,109.47,114.72,16935244,1.479
"01,30,2015",98.71,112.39,96.53,110.45,34475832,1.565
"12,31,2014",95.82,100.77,89.34,98.17,21970120,1.995
"11,28,2014",91.62,96.6,91.62,96.4,16445786,1.796
"10,31,2014",86.66,91.6,80.7,91.54,39529648,2.06
"09,30,2014",87.29,88.5,84.8,87.16,19803100,1.417
"08,29,2014",82.87,88.17,82.03,87.09,15464164,1.44
"07,31,2014",88.27,94.77,82.97,83.26,30998580,1.451
"06,30,2014",83.81,88.6,82.19,88.13,25234740,1.749
"05,30,2014",79.9,84.32,78.43,84.13,21806420,1.34
"04,30,2014",85.4,85.91,76.26,79.84,37571680,1.445
"03,31,2014",80.77,85.2,80.22,84.97,26740764,1.5
"02,28,2014",76.3,82.84,74.69,81.03,23356800,2.947
"01,31,2014",70.02,81.56,68.54,76.67,43702104,2.837
"12,31,2013",70.67,71.62,68.17,70.38,23212808,2.958
"11,29,2013",65.45,71.18,65.09,70.41,24227216,3.445
"10,31,2013",57.33,65.79,57.09,65.3,42227000,2.546
"09,30,2013",55.2,59.92,54.22,57.4,34435928,3.362
"08,30,2013",52.5,56,52.5,54.25,26108808,3.699
"07,31,2013",52.49,53.75,49.32,52.09,45921608,2.921
"06,28,2013",53.21,53.65,49.09,52.12,36924292,3.627
"05,31,2013",48.97,54.64,48.68,53.01,45321088,3.319
"04,30,2013",47.66,49.54,46.83,49.35,62874856,2.875
"03,29,2013",44.14,47.82,42.42,47.64,46601896,2.616
"02,28,2013",32.98,44.99,30.41,44.24,153570448,2.648
"01,31,2013",35.95,39.65,28.37,32.36,98378312,2.706
"12,31,2012",35.98,36.15,34.14,35.39,24510068,1.987
"11,30,2012",35.42,36.61,33.46,35.88,32542076,2.381
"10,31,2012",32.57,36.98,32.24,35.34,63183540,2.945
"09,28,2012",33.04,34.2,31.99,32.35,44634300,2.105
"08,31,2012",28.47,33.23,28.47,32.94,56392416,2.04
"07,31,2012",26.74,29.48,26.55,28.21,74704960,2.008
"06,29,2012",18.98,27.44,18.5,27.06,74878096,2.378
"05,31,2012",21.59,21.88,18.6,19.29,51300744,2.179
"04,30,2012",23.53,24.87,20.93,21.6,73598136,1.885
"03,30,2012",21.93,23.92,21.68,23.59,28202660,1.304
"02,29,2012",21.09,22.33,21.05,21.84,30085640,1.262
"01,31,2012",20.96,21.24,19.14,20.9,30939838,1.435
"12,30,2011",19.4,21.01,18.95,20.67,31401884,1.624
"11,30,2011",19.65,20.56,17.95,19.47,37497476,1.771
"10,31,2011",17.8,21.03,17.05,20.22,52455920,1.804
"09,30,2011",19.68,19.79,17.35,18,42379232,1.964
"08,31,2011",20.51,20.55,16.42,19.77,68129040,2.251
"07,29,2011",20.81,22,20.16,20.39,37958820,1.824
"06,30,2011",21.77,21.94,20.56,20.82,44042280,1.619
"05,31,2011",22.49,23.19,21.38,21.96,34644212,1.633
"04,29,2011",20.4,22.89,20.19,22.39,49871236,1.503
"03,31,2011",20.41,20.43,18.12,20.28,45476224,1.216
"02,28,2011",19.3,21.1,19.23,20.32,27669496,2.65
"01,31,2011",22.18,22.18,18.84,19.22,48529000,1.488
"12,31,2010",20.87,22.52,20.84,22.15,30890564,2.24
"11,30,2010",19.68,21.01,19.37,20.61,34713000,2.395
"10,29,2010",17.78,19.83,17.35,19.73,39229092,1.761
"09,30,2010",16.85,18.29,16.64,17.69,31385240,2.072
"08,31,2010",17.25,17.56,16.21,16.66,23619080,1.89
"07,30,2010",15.65,17.32,14.97,17.06,37539836,1.74
"06,30,2010",16.48,17.12,15.27,15.62,55317348,2.534
"05,31,2010",18.36,18.83,15.5,16.66,63510144,4.457
"04,30,2010",16.51,18.87,15.95,18.27,49903064,7.191
"03,31,2010",15.15,16.57,15.06,16.44,29149534,1.64
"02,26,2010",16.18,16.42,14.6,15.04,33493236,1.477
"01,29,2010",16.02,17.04,15.1,16.08,37424144,1.777
"12,31,2009",17.3,17.46,14.91,15.93,45777628,1.465
"11,30,2009",15.83,17.56,15.4,17.11,33139648,1.679
"10,30,2009",15.7,17,15.2,15.82,60152340,1.546
"09,30,2009",14.71,15.96,14.36,15.15,50874552,1.607
"08,31,2009",13.74,15.2,13.52,14.79,45077456,2.373
"07,31,2009",13.18,14.19,12.25,13.66,57571336,2.269
"06,30,2009",11.73,13.69,11.62,12.68,65000500,1.294
"05,29,2009",11.61,12.57,11.14,11.56,45502736,1.405
"04,30,2009",11.75,12.33,10.72,11.59,66303724,1.272
"03,31,2009",12.73,13.5,11.73,11.9,67100768,3.022
"02,27,2009",14.35,15.83,13.03,13.05,44465872,4.032
"01,30,2009",15.82,17.16,13.76,14.52,53142296,3.186
"12,31,2008",12.54,16.27,11.54,15.77,44735524,3.241
"11,28,2008",12.37,13.5,10.66,12.76,61531532,5.364
"10,31,2008",21.46,21.67,12.08,12.54,56907776,5.551
"09,30,2008",21.59,23.48,20.06,21.46,41228356,6.026
"08,29,2008",21.41,22.86,20.04,21.11,33638456,6.707
"07,31,2008",20.94,23.09,20.31,21.52,55560884,7.2
"06,30,2008",21.35,21.35,18.82,19.86,41343312,7.307
"05,30,2008",18.21,21.9,17.9,21.32,49017612,6.728
"04,30,2008",18.09,20.47,17.78,18.36,43469388,6.789
"03,31,2008",19.13,19.44,17.21,17.67,45629028,7.346
"02,29,2008",20.76,21.83,19.14,19.21,33499712,6.27
"01,31,2008",23.59,23.81,19.01,20.9,45222528,4.934
"12,31,2007",23.6,24.97,22.68,23.64,25013986,5.005
"11,30,2007",25.1,25.12,22.39,23.55,30654488,4.416
"10,31,2007",24.1,26.46,24.07,25.12,36653896,4.84
"09,28,2007",24.01,24.49,23.26,24.21,21364700,6.576
"08,31,2007",21.84,25.79,21.41,24.18,48271128,6.873
"07,31,2007",24.67,25.06,21.23,21.93,50433808,8.185
"06,29,2007",24.35,25.52,23.01,24.28,47683360,9.571
"05,31,2007",22.47,24.61,22.35,24.3,67509072,12.292
"04,30,2007",21.11,22.97,20.63,22.41,48020088,5.059
"03,30,2007",20.5,21.55,18.83,21.18,90708384,2.593
"02,28,2007",24.86,24.89,23.01,23.46,41551312,2.953
"01,31,2007",28.8,29.17,24.07,24.74,47752600,3.621
"12,29,2006",28.21,29.14,27.79,29.02,17048700,4.186
"11,30,2006",27.52,28.23,27.37,27.98,23425100,4.439
"10,31,2006",28.75,29.09,27,27.49,44797300,4.014
"09,29,2006",27.4,28.97,26.9,28.78,27695900,2.779
"08,31,2006",24.3,27.29,24.15,27.29,25626700,3.084
"07,31,2006",25.15,25.47,24.13,24.46,23896800,2.959
"06,30,2006",24.5,26.38,24.18,25,24578000,2.926
"05,31,2006",24.83,25.1,23.83,24.7,19733600,2.448
"04,28,2006",25.05,26.31,23.32,24.7,30414000,2.674
"03,31,2006",26.58,28.02,24.28,25.05,24574900,3.209
"02,28,2006",26.27,27.39,25.2,26.34,25643000,3.153
"01,31,2006",26.35,26.96,24.6,26.69,29815900,2.796
"12,30,2005",23.65,26.38,23.16,26.23,29643200,2.545
"11,30,2005",23.53,24.42,22.56,23.62,27234700,2.281
"10,31,2005",26.12,26.33,21.15,23.54,40065300,2.166
"09,30,2005",27.6,29.01,23.99,26,27440500,2.65
"08,31,2005",27.39,27.97,26.26,27.52,23277900,2.276
"07,29,2005",29.75,30.28,27.4,27.4,49050200,2.823
"06,30,2005",27.72,31.6,27.15,29.5,28871200,2.118
"05,31,2005",26.63,28.36,25.18,27.81,24298100,2.126
"04,29,2005",26.5,30.08,25.91,26.35,41299000,2.548
"03,31,2005",26.64,27.69,24.5,26.43,22846600,2.874
"02,28,2005",25.76,28.67,25.59,26.76,28215400,3.399
"01,31,2005",23.26,26.1,22.35,25.96,26535200,2.343
"12,31,2004",22.33,23.91,22.33,23.25,16939800,2.343
"11,30,2004",19.64,22.58,19.64,22.35,26074400,2.605
"10,29,2004",19.45,20.05,18.11,19.61,22107000,2.466
"09,30,2004",18.3,19.29,18,19.03,19802200,1.659
"08,31,2004",18.88,19.16,17.7,18.39,15700600,2.363
"07,30,2004",18.5,19.97,18.17,18.94,27861200,2.526
"06,30,2004",18,18.93,18,18.57,18762200,2.527
"05,31,2004",16.53,18.13,16.41,18,17681600,3.139
"04,30,2004",16.1,16.98,16,16.57,19268800,3.31
"03,31,2004",15.85,16.81,15.45,16.05,38156000,3.163
"02,27,2004",16.77,17.96,14.65,15.85,36031600,3.522
"01,30,2004",16.45,16.89,15.85,16.77,22407600,3.407
"12,31,2003",17,17.08,15.28,16.47,21930400,2.919
"11,28,2003",15.75,17.33,15.32,17.25,19288010,3.43
"10,31,2003",15.24,15.74,14.66,15.69,23823800,4.284
"09,30,2003",14.43,15.9,14.35,15.24,28395600,3.977
"08,29,2003",14.48,14.55,13.31,14.38,26777200,3.457
"07,31,2003",15.7,15.7,13.69,14.43,56709200,3.518
"06,30,2003",13.82,15.9,13.82,15.7,25064400,3.189
"05,30,2003",13.4,13.82,12.78,13.78,21123000,2.713
"04,30,2003",11.38,13.46,11.3,13.4,24315000,2.895
"03,31,2003",12.27,12.33,10.95,11.35,20825800,2.089
"02,28,2003",12.5,12.69,11.95,12.31,11670400,2.303
"01,31,2003",11.93,13.13,11.15,12.53,27013800,2.689
"12,31,2002",11.8,12.71,11.35,11.85,16341400,1.755
"11,29,2002",12.66,12.7,11.15,11.76,22817600,2.712
"10,31,2002",11.63,12.95,10.99,12.66,22592800,2.58
"09,30,2002",13.82,14.9,11.07,11.55,29386600,2.775
"08,30,2002",14.35,15.39,13.38,14.2,18788800,2.974
"07,31,2002",15.99,15.99,12.05,14.37,23084600,3.135
"06,28,2002",14.8,16,12.6,16,25470200,3.142
"05,31,2002",15.1,15.81,13.56,14.73,44943600,2.961
"04,30,2002",13.72,15.13,13.25,15.1,18088400,3.056
"03,29,2002",13.41,13.75,12.63,13.74,15142000,6.834
"02,28,2002",11.99,13.59,11.63,13.59,25974400,7.801
"01,31,2002",10.71,12.36,10.52,11.97,29430400,7.835
"12,31,2001",9.52,10.81,9.51,10.71,18315200,8.116
"11,30,2001",10.25,10.93,9.02,9.48,29680400,6.283
"10,31,2001",10.29,11.25,10.06,10.26,27426000,6.5
"09,28,2001",10.5,10.81,8.69,10.41,25671600,7.721
"08,31,2001",10.59,11.63,10.13,10.59,20760800,5.517
"07,31,2001",10.25,11.1,9.93,10.53,22732400,8.09
"06,29,2001",9.66,10.94,9.2,10.25,21639600,10.02
"05,31,2001",8.18,10,8.06,9.66,18095600,10.928
"04,30,2001",8.99,9.25,7.82,8.16,32056000,17.474
"03,30,2001",7.99,9.01,7.88,8.97,40616800,33.601
"02,28,2001",8.46,8.57,7.62,7.98,17132800,29.564
"01,31,2001",7.34,8.49,6.63,8.43,25104000,27.534
"12,29,2000",6.09,7.38,5.88,7.34,12095200,33.355
"11,30,2000",6.13,6.64,6.09,6.13,11675200,24.548
"10,31,2000",6.78,6.78,5.73,6.09,19907200,21.834
"09,29,2000",6.73,7.3,6.37,6.79,12130400,0
"08,31,2000",6.17,6.86,5.48,6.73,21729600,0
"07,31,2000",6.34,6.7,5.97,6.17,12481600,0
"06,30,2000",6.53,6.95,6.16,6.31,11499200,0
"05,31,2000",6.31,6.84,6.18,6.55,7329600,0
"04,28,2000",6.35,6.97,6.02,6.3,10776000,0
"03,31,2000",6.09,6.38,5.05,6.38,14721600,0
"02,29,2000",6.49,6.84,5.97,6.13,11690400,0
"01,31,2000",6.38,6.77,5.91,6.48,16203200,0
"12,31,1999",6.66,6.8,5.84,6.38,14888000,0
"11,30,1999",7.58,7.58,6.63,6.66,9308800,0
"10,29,1999",7.47,7.65,6.92,7.56,13858400,0
"09,30,1999",7.24,7.5,7.03,7.47,14946400,0
"08,31,1999",7.23,7.28,6.5,7.23,17801600,0
"07,30,1999",6.55,7.55,6.48,7.19,27612000,0
"06,30,1999",6.23,6.69,5.36,6.55,30147200,0
"05,31,1999",6.42,6.91,6.04,6.22,10167200,0
"04,30,1999",6.33,6.79,5.67,6.44,18406400,0
"03,31,1999",6.63,6.67,5.89,6.3,10792800,0
"02,26,1999",7.34,7.47,6.06,6.67,11767200,0
"01,29,1999",7.09,7.69,6.73,7.33,15225600,0
"12,31,1998",6.22,7.38,5.7,7.23,16115200,0
"11,30,1998",6.25,6.52,6.05,6.22,9095200,0
"10,30,1998",4.75,6.44,4.75,6.27,13190400,0
"09,30,1998",5.28,5.64,4.41,4.94,15983200,0
"08,31,1998",5.84,5.88,5.03,5.22,27488800,0
"07,31,1998",6.09,6.34,5.63,5.89,19473600,0
"06,30,1998",5.77,6.55,5.58,6.15,23180000,0
"05,29,1998",6.5,6.55,5.7,5.77,25360000,0
"04,30,1998",7.14,7.47,6.38,6.55,19184000,0
"03,31,1998",7,7.15,6.78,7.14,14049600,0
"02,27,1998",6.72,7.17,6.67,6.97,16080800,0
"01,30,1998",6.92,7.31,6.22,6.67,28187200,0
"12,31,1997",6.03,7.2,5.47,6.92,19284800,0
"11,28,1997",6.25,6.69,5.7,5.98,16912800,0
"10,31,1997",5.94,6.39,5.64,6.2,40276800,0
"09,30,1997",5.13,6,4.94,5.89,14784000,0
"08,29,1997",5.25,5.34,4.69,5.09,20852800,0
"07,31,1997",4.27,5.33,4.22,5.32,23984800,0
"06,30,1997",3.86,4.47,3.67,4.25,14728800,0
"05,30,1997",3.22,4.03,3.16,3.86,12854400,0
"04,30,1997",3.28,3.48,2.73,3.2,13805600,0
"03,31,1997",3.81,3.83,3.25,3.28,8496000,0
"02,28,1997",3.53,3.97,3.45,3.84,9210400,0
"01,31,1997",3.55,3.78,3.44,3.52,23929600,0
"12,31,1996",3.34,3.56,3.19,3.56,15994400,0
"11,29,1996",2.91,3.44,2.81,3.38,32528800,0
"10,31,1996",2.63,2.91,2.53,2.81,25924000,0
"09,30,1996",2.84,2.97,1.97,2.59,66865600,0
"08,30,1996",3.25,3.56,2.86,2.88,25610400,0
"07,31,1996",3.78,3.84,3.19,3.28,12737600,0
"06,28,1996",3.78,4.03,3.75,3.75,16124000,0
"05,31,1996",3.84,3.94,3.41,3.78,47416800,0
"04,30,1996",4.84,4.88,3.38,3.8,46484800,0
"03,29,1996",4.84,4.94,4.47,4.84,16368800,0
"02,29,1996",4.66,4.88,4.28,4.75,20312800,0
"01,31,1996",4.06,4.75,3.94,4.66,25098400,0
"12,29,1995",4.19,4.19,3.72,4.08,33581600,0
"11,30,1995",5.98,6.28,3.84,4.19,120280800,0
"10,31,1995",6.03,6.22,5.63,6,13940000,0
"09,29,1995",5.94,6.63,5.84,6.08,14825600,0
"08,31,1995",5.5,6,5.31,5.91,16249600,0
"07,31,1995",5.53,5.88,5.06,5.47,16073600,0
"06,30,1995",5.44,5.69,5.22,5.59,15250400,0
"05,31,1995",5.38,5.56,4.97,5.41,16270400,0
"04,28,1995",5.16,5.59,5.03,5.38,15899200,0
"03,31,1995",4.63,5.5,4.19,5.25,29953600,0
"02,28,1995",4.59,4.84,4.31,4.63,24270400,0
"01,31,1995",4.75,5.06,4.5,4.56,16175200,0
"12,30,1994",4.19,4.81,4.16,4.75,20089600,0
"11,30,1994",4.03,4.25,4.03,4.16,28760800,0
"10,31,1994",4.13,4.28,4.03,4.11,10500000,0
"09,30,1994",3.81,4.28,3.72,4.19,16013600,0
"08,31,1994",3.19,3.84,3.19,3.81,20248000,0
"07,29,1994",3.13,3.34,3,3.2,11686400,0
"06,30,1994",2.81,3.25,2.78,3.13,19412000,0
"05,31,1994",3.09,3.13,2.53,2.88,13954400,0
"04,29,1994",3.38,3.69,3,3.09,14760000,0
"03,31,1994",3.34,3.81,3.25,3.44,20100800,0
"02,28,1994",3.63,3.63,3.28,3.44,9388800,0
"01,31,1994",3.88,3.88,3.34,3.63,23346400,0
"12,31,1993",3.22,4,3.19,3.94,32786400,0
"11,30,1993",2.91,3.22,2.69,3.19,30018400,0
"10,29,1993",2.84,3.13,2.78,2.91,20272000,0
"09,30,1993",2.78,2.89,2.63,2.84,15976800,0
"08,31,1993",2.72,2.97,2.72,2.78,15743200,0
"07,30,1993",2.31,2.88,2.25,2.73,37548800,0
"06,30,1993",2.25,2.44,2.19,2.31,7843200,0
"05,31,1993",2.23,2.44,2.19,2.31,12772800,0
"04,30,1993",2.03,2.25,1.69,2.23,6976000,0
"03,31,1993",2,2.09,1.88,2.03,13693600,0
"02,26,1993",2.13,2.34,1.88,2,5823200,0
"01,29,1993",2.13,2.34,2.06,2.22,10660800,0
"12,31,1992",1.88,2.13,1.78,2.13,7487200,0
"11,30,1992",1.78,1.97,1.69,1.97,11972800,0
"10,30,1992",1.53,1.78,1.34,1.78,10851200,0
"09,30,1992",1.64,1.72,1.5,1.53,11405600,0
"08,31,1992",1.75,1.88,1.63,1.69,4515200,0
"07,31,1992",1.81,1.84,1.67,1.81,8636787,0
"06,30,1992",1.9,2.04,1.71,1.83,12899978,0
"05,29,1992",1.9,2.13,1.85,1.94,9913180,0
"04,30,1992",1.69,1.95,1.59,1.9,4215579,0
"03,31,1992",1.65,1.74,1.53,1.69,6574778,0
"02,28,1992",1.67,1.78,1.63,1.65,8983182,0
"01,31,1992",1.32,1.7,1.31,1.67,1299581,0
"12,31,1991",1.4,1.42,1.26,1.32,364784,0
"11,29,1991",1.47,1.5,1.42,1.42,686385,0
"10,31,1991",1.43,1.5,1.35,1.48,1067383,0
"09,30,1991",1.4,1.42,1.33,1.42,143987,0
"08,30,1991",1.22,1.4,1.19,1.39,629981,0
"07,31,1991",1.24,1.38,1.22,1.24,966583,0
"06,28,1991",1.11,1.24,1.11,1.24,403184,0
"05,31,1991",1.14,1.17,1.04,1.11,595782,0
"04,30,1991",0.94,1.15,0.94,1.13,1191581,0
